url,name,address,neighborhood,latitude,longitude,amenities
https://www.quintoandar.com.br/condominio/residencial-elos-corrego-grande-florianopolis-wk27sxg2ep,Residencial Elos,"Rua João Pio Duarte Silva, 250",Córrego Grande,-27.600927352905273,-48.51448440551758,Salão de festas; Playground; Área verde; Corrimão; Vaga de garagem acessível; Quadra esportiva; Portaria 24h
https://www.quintoandar.com.br/condominio/itamarati-centro-florianopolis-9p18symxwk,Condomínio Itamarati,"Rua Vidal Ramos, 110",Centro,-27.595537185668945,-48.55018615722656,Churrasqueira; Elevador; Rampas de acesso; Espaço gourmet na área comum; Piso tátil; Corrimão; Gás encanado
https://www.quintoandar.com.br/condominio/rua-pireneus-85-corrego-grande-florianopolis-4pxnsrq1ed,"Condomínio em Rua Pireneus, 85","Rua Pireneus, 85",Córrego Grande,-27.60404396057129,-48.500938415527344,Espaço gourmet na área comum; Rampas de acesso; Churrasqueira; Piso tátil; Gás encanado; Elevador; Corrimão; Salão de festas; Vaga de garagem acessível; Playground; Portaria 24h
https://www.quintoandar.com.br/condominio/servidao-caminho-do-arvoredo-54-sao-joao-do-rio-vermelho-florianopolis-d37s5w7vnp,"Condomínio em Servidão Caminho do Arvoredo, 54","Servidão Caminho do Arvoredo, 54",São João do Rio Vermelho,-27.481040954589844,-48.40975570678711,Área verde; Vaga de garagem acessível; Rampas de acesso
https://www.quintoandar.com.br/condominio/recanto-das-acacias-itacorubi-florianopolis-9p18slvr2k,Condomínio Recanto das Acácias,"Servidão Antônio Cipriano Pereira, 168",Itacorubi,-27.582340240478516,-48.50039291381836,Salão de festas; Elevador; Piscina; Gás encanado
https://www.quintoandar.com.br/condominio/residence-vida-bem-vivida-rio-tavares-florianopolis-0d71se0wxd,Condomínio Residence Vida Bem Vivida,"Rua Silvio Lopes Araújo, 523",Rio Tavares,-27.652334213256836,-48.47392272949219,Elevador; Sauna; Gás encanado; Academia; Salão de festas; Piscina; Espaço gourmet na área comum; Corrimão; Rampas de acesso; Vaga de garagem acessível; Piso tátil
https://www.quintoandar.com.br/condominio/servidao-da-lua-quarto-crescente-37-ingleses-do-rio-vermelho-florianopolis-9p18s8078k,"Condomínio em Servidão da Lua Quarto Crescente, 37","Servidão da Lua Quarto Crescente, 37",Ingleses,-27.45155906677246,-48.4039421081543,Churrasqueira
https://www.quintoandar.com.br/condominio/marine-home-resort-canasvieiras-florianopolis-k27sjevj4p,Condomínio Marine Home Resort,"Avenida Luiz Boiteux Piazza, 4500",Ponta das Canas,-27.41047477722168,-48.42439270019531,Piscina; Portaria 24h
https://www.quintoandar.com.br/condominio/residencial-agua-azul-praia-brava-florianopolis-p6jsj2769k,Residencial Água Azul,"Avenida Tom Traugott Wildi, 500",Ponta das Canas,-27.39641761779785,-48.41693115234375,Piscina; Playground; Vaga de garagem acessível; Quadra esportiva; Academia
https://www.quintoandar.com.br/condominio/jardim-do-mar-ingleses-do-rio-vermelho-florianopolis-ed5zsno2qd,Condomínio Jardim do Mar,"Rua Martinho de Haro, 833",Ingleses,-27.4285831451416,-48.40697479248047,Corrimão; Espaço gourmet na área comum; Gás encanado; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/solar-de-cadiz-centro-florianopolis-rdyos6j71k,Condomínio Solar de Cadiz,"Rua Dorval Melchíades de Souza, 755",Centro,-27.593399047851562,-48.54798126220703,Elevador; Espaço gourmet na área comum; Churrasqueira; Salão de festas; Gás encanado; Corrimão; Rampas de acesso; Vaga de garagem acessível; Área verde; Portaria 24h
https://www.quintoandar.com.br/condominio/solar-van-den-berg-canasvieiras-florianopolis-rdyos82lqk,Condomínio Solar Van Den Berg,"Rua dos Eucalíptos, 185",Canasvieiras,-27.43073081970215,-48.45079803466797,Elevador; Gás encanado; Churrasqueira; Salão de festas; Portaria 24h
https://www.quintoandar.com.br/condominio/servidao-acropole-150-ingleses-do-rio-vermelho-florianopolis-8kojsr33xd,"Condomínio em Servidão Acrópole, 150","Servidão Acrópole, 150",Ingleses,-27.440401077270508,-48.39916229248047,Vaga de garagem acessível; Gás encanado; Espaço gourmet na área comum
https://www.quintoandar.com.br/condominio/robles-canasvieiras-florianopolis-k27sg5760p,Condomínio Robles,"Rua dos Eucalíptos, 388",Canasvieiras,-27.428770065307617,-48.45061492919922,Elevador; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/avenida-dos-salmoes-650-jurere-florianopolis-vk87sv2llp,"Condomínio em Avenida dos Salmões, 650","Avenida dos Salmões, 650",Jurerê,-27.442914962768555,-48.5019645690918,Elevador; Vaga de garagem acessível; Churrasqueira
https://www.quintoandar.com.br/condominio/rua-joao-antonio-da-silveira-558-lagoa-da-conceicao-florianopolis-ndv7s87nmd,"Condomínio em Rua João Antônio da Silveira, 558","Rua João Antônio da Silveira, 558",Lagoa da Conceição,-27.603849411010742,-48.46549987792969,Corrimão; Gás encanado; Rampas de acesso; Piso tátil; Espaço gourmet na área comum
https://www.quintoandar.com.br/condominio/terrace-residence-balneario-florianopolis-dyosw7975k,Condomínio Terrace Residence,"Rua Tobias Barreto, 199",Saco dos Limões,-27.579389572143555,-48.577754974365234,Vaga de garagem acessível; Salão de festas; Elevador; Lavanderia no prédio; Piso tátil; Corrimão; Academia; Rampas de acesso
